univNameCn,univNameEn,univTags,univCategory,province,score,ranking
湖南理工学院,Hunan Institute of Science and Technology,,理工,湖南,133.6,315
广东海洋大学,Guangdong Ocean University,,农业,广东,133.0,316
盐城工学院,Yancheng Institute of Technology,,理工,江苏,132.9,317
井冈山大学,Jinggangshan University,,综合,江西,132.8,318
闽南师范大学,Minnan Normal University,,师范,福建,131.7,319
盐城师范学院,Yancheng Teachers University,,师范,江苏,131.1,320
吉林建筑大学,Jilin Jianzhu University,,理工,吉林,131.0,321
宁波工程学院,Ningbo University of Technology,,理工,浙江,131.0,321
江苏理工学院,Jiangsu University of Technology,,理工,江苏,130.8,323
太原科技大学,Taiyuan University of Science and Technology,,理工,山西,130.3,324
台州学院,Taizhou University,,综合,浙江,129.7,325
福建工程学院,Fujian University of Technology,,理工,福建,129.6,326
贵州师范学院,Guizhou Normal College,,师范,贵州,129.5,327
重庆文理学院,Chongqing University of Arts and Science,,综合,重庆,128.8,328
上海第二工业大学,Shanghai Second Polytechnic University,,理工,上海,128.6,329
南京晓庄学院,Nanjing XiaoZhuang University,,师范,江苏,127.9,330
天津城建大学,Tianjin Chengjian University,,理工,天津,127.6,331
河南科技学院,Henan Institute of Science and Technology,,师范,河南,127.4,332
仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,,农业,广东,127.3,333
江苏海洋大学,Huaihai Institute of Technology,,理工,江苏,127.2,334
上海电机学院,Shanghai Dianji University,,理工,上海,127.1,335
长春师范大学,Changchun Normal University,,师范,吉林,127.0,336
阜阳师范大学,Fuyang Normal University,,师范,安徽,127.0,336
合肥师范学院,Hefei Normal University,,师范,安徽,126.7,338
五邑大学,Wuyi University,,综合,广东,126.3,339
黄冈师范学院,Huanggang Normal University,,师范,湖北,126.1,340
内蒙古科技大学,Inner Mongolia University of Science & Technology,,综合,内蒙古,126.1,340
新疆农业大学,Xinjiang Agricultural University,,农业,新疆,126.0,342
安徽科技学院,Anhui Science and Technology University,,师范,安徽,125.6,343
山东交通学院,Shandong Jiaotong University,,理工,山东,125.6,343
滨州学院,Binzhou University,,师范,山东,125.5,345
四川轻化工大学,Sichuan University of Science and Engineering,,理工,四川,125.5,345
常熟理工学院,Changshu Institute of Technology,,综合,江苏,125.4,347
闽江学院,Minjiang University,,理工,福建,124.8,348
湖北文理学院,Hubei University of Arts and Science,,综合,湖北,124.7,349
铜仁学院,Tongren University,,综合,贵州,124.4,350
齐齐哈尔大学,Qiqihar University,,综合,黑龙江,123.8,351
河北科技师范学院,Hebei Normal University of Science and Technology,,师范,河北,123.4,352
天津农学院,Tianjin Agricultural University,,农业,天津,123.4,352
泉州师范学院,Quanzhou Normal University,,师范,福建,123.3,354
黄淮学院,Huanghuai University,,师范,河南,123.2,355
南阳师范学院,Nanyang Normal University,,师范,河南,123.1,356
浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,,理工,浙江,122.9,357
长沙学院,Changsha University,,理工,湖南,122.8,358
岭南师范学院,LingNan Normal University,,师范,广东,122.8,358
枣庄学院,Zaozhuang University,,综合,山东,122.4,360
天津职业技术师范大学,TianJin University of Technology and Education,,师范,天津,122.1,361
西南林业大学,Southwest Forestry University,,林业,云南,122.1,361
